target_date,selected_historical_year,selected_historical_date,selected_station_id,T_proj,R_proj,W_proj,T_hist,R_hist,W_hist,dT_norm,dR_norm,dW_norm,delta_D,rank
2032-06-13,2022,2022-06-13,06180,13.960898399353027,208.4902801513672,6.256016254425049,14.365277777777777,252.1875,5.920138888888889,0.0155,0.123844,0.029239,0.052125,1
2032-06-14,2019,2019-06-14,06180,17.10344123840332,313.6995544433594,4.06748104095459,18.020833333333332,333.05555555555554,4.377083333333333,0.035164,0.054857,0.026952,0.038608,1
2032-06-15,2016,2016-06-15,06180,17.454833984375,352.8420715332031,5.705558776855469,16.897222222222222,292.02777777777777,3.976388888888889,0.021373,0.172356,0.15053,0.105415,1
2032-06-16,2021,2021-06-16,06180,19.305072784423828,349.60205078125,7.461946487426758,16.430555555555557,323.88194444444446,4.047222222222222,0.110181,0.072894,0.297263,0.155119,1
2032-06-17,2021,2021-06-17,06180,20.26957130432129,319.3448791503906,4.7588934898376465,20.913194444444443,315.7638888888889,5.513194444444444,0.02467,0.010149,0.065664,0.032612,1
2032-06-18,2019,2019-06-18,06180,20.674211502075195,270.8283386230469,4.9745635986328125,19.740277777777777,330.7013888888889,5.361111111111111,0.035798,0.169688,0.03365,0.075321,1
2032-06-19,2023,2023-06-19,06180,20.640613555908203,186.74049377441406,3.874563694000244,18.174305555555556,238.93055555555554,3.304285714285714,0.094534,0.147913,0.049645,0.097081,1
2032-06-20,2019,2019-06-20,06180,18.368242263793945,286.57427978515625,4.399097919464111,19.456944444444446,302.43055555555554,4.497222222222223,0.04173,0.044939,0.008542,0.032736,1
2032-06-21,2024,2024-06-21,06180,17.170896530151367,310.20001220703125,2.0622928142547607,16.639583333333334,266.00694444444446,2.6409722222222225,0.020365,0.125249,0.050376,0.060834,1
2032-06-22,2024,2024-06-22,06180,16.09375762939453,97.08609008789062,5.593303680419922,15.755555555555556,63.24305555555556,4.873611111111111,0.012963,0.095916,0.062652,0.052755,1
2032-06-23,2024,2024-06-23,06180,15.823850631713867,169.1005859375,6.219239711761475,16.302777777777777,157.25,4.934027777777778,0.018357,0.033586,0.111882,0.050983,1
2032-06-24,2017,2017-06-24,06180,16.063770294189453,189.00222778320312,5.379332542419434,15.969444444444443,153.31944444444446,6.5055555555555555,0.003616,0.10113,0.098041,0.061197,1
2032-06-25,2021,2021-06-25,06180,16.294170379638672,204.50054931640625,3.0783939361572266,16.779166666666665,130.72916666666666,2.534265734265734,0.01859,0.209078,0.047368,0.08437,1
2032-06-26,2015,2015-06-26,06180,17.12668800354004,317.385986328125,2.798130989074707,14.866666666666667,319.40277777777777,3.434507042253521,0.086627,0.005716,0.055399,0.052985,1
2032-06-27,2021,2021-06-27,06180,19.447355270385742,127.81443786621094,2.4350850582122803,17.99375,183.16666666666666,2.297080291970803,0.055717,0.156875,0.012014,0.072953,1
2032-06-28,2020,2020-06-28,06180,19.807958602905273,218.28578186035156,2.0816526412963867,19.445138888888888,157.55555555555554,3.029166666666667,0.013907,0.172117,0.082484,0.081943,1
2032-06-29,2015,2015-06-29,06180,17.82093048095703,164.380615234375,2.802743434906006,16.35486111111111,165.66666666666666,3.673611111111111,0.056195,0.003645,0.075812,0.046315,1
2032-06-30,2015,2015-06-30,06180,17.508047103881836,348.77447509765625,4.874541759490967,17.024305555555557,342.21527777777777,3.931944444444444,0.018542,0.01859,0.082056,0.03761,1
2033-08-01,2019,2019-08-01,06180,19.613550186157227,78.16812133789062,2.4745638370513916,15.147916666666667,107.875,2.8812499999999996,0.171168,0.084193,0.035403,0.104346,1
2033-08-02,2020,2020-08-02,06180,19.752758026123047,245.10601806640625,3.218204975128174,19.299305555555556,201.75694444444446,3.433093525179856,0.017381,0.122857,0.018707,0.049421,1
2033-08-03,2019,2019-08-03,06180,19.86293601989746,270.06451416015625,2.5027434825897217,19.40902777777778,299.4236111111111,3.7895104895104894,0.017398,0.083207,0.112017,0.065527,1
2033-08-04,2019,2019-08-04,06180,19.616939544677734,229.02865600585938,3.476607322692871,19.200694444444444,205.61111111111111,3.2289855072463767,0.015955,0.066368,0.021556,0.032759,1
2033-08-05,2015,2015-08-05,06180,19.805387496948242,235.15432739257812,3.464348793029785,18.395833333333332,230.59027777777777,3.6277777777777778,0.054028,0.012935,0.014227,0.02976,1
2033-08-06,2019,2019-08-06,06180,19.978656768798828,174.96217346191406,3.009941816329956,20.074305555555554,187.29861111111111,4.655555555555555,0.003666,0.034963,0.143256,0.054932,1
2033-08-07,2021,2021-08-07,06180,20.62196922302246,109.48296356201172,7.862957000732422,17.69027777777778,143.0,4.404166666666667,0.112372,0.094992,0.301099,0.163776,1
2033-08-08,2020,2020-08-08,06180,21.38968276977539,237.66754150390625,3.068063497543335,22.4375,247.8125,2.3569444444444447,0.040163,0.028752,0.061905,0.043262,1
2033-08-09,2020,2020-08-09,06180,20.638370513916016,262.4288330078125,2.3449625968933105,24.068055555555556,253.65972222222223,2.9229166666666666,0.13146,0.024853,0.050313,0.075134,1
2033-08-10,2021,2021-08-10,06180,15.762113571166992,47.23170852661133,2.395855188369751,16.172142857142855,127.55555555555556,3.6857142857142855,0.015716,0.227648,0.112286,0.108267,1
2033-08-11,2015,2015-08-11,06180,18.084157943725586,159.39830017089844,2.752150297164917,18.876388888888886,174.75,3.314583333333333,0.030366,0.043509,0.048962,0.039888,1
2033-08-12,2021,2021-08-12,06180,19.08810043334961,207.59866333007812,3.0291457176208496,18.32986111111111,200.24305555555554,3.8131944444444446,0.029063,0.020847,0.068254,0.038356,1
2033-08-13,2018,2018-08-13,06180,18.38574981689453,122.48368835449219,3.1732959747314453,18.544444444444444,93.29166666666667,4.461805555555555,0.006083,0.082734,0.112169,0.060904,1
2033-08-14,2023,2023-08-14,06180,19.389278411865234,255.92453002929688,2.5804786682128906,19.20763888888889,259.90277777777777,3.064583333333333,0.006962,0.011275,0.042143,0.01881,1
2033-08-15,2018,2018-08-15,06180,19.42229461669922,229.74755859375,4.646384239196777,19.45486111111111,190.93706293706293,4.1125,0.001248,0.109994,0.046476,0.04744,1
2033-08-16,2018,2018-08-16,06180,18.854761123657227,213.33067321777344,6.21162748336792,20.78611111111111,222.84722222222223,4.46013986013986,0.074029,0.026971,0.152473,0.083445,1
2033-08-17,2019,2019-08-17,06180,17.658945083618164,117.20915222167969,5.967471122741699,17.80138888888889,82.50694444444444,5.71875,0.00546,0.098351,0.021652,0.038185,1
2033-08-18,2017,2017-08-18,06180,17.681289672851562,122.40270233154297,4.574698448181152,18.015972222222224,115.95833333333333,4.109722222222222,0.012828,0.018264,0.040478,0.022754,1
2033-08-19,2023,2023-08-19,06180,19.30291175842285,192.1799774169922,3.8999125957489014,20.37222222222222,239.09722222222223,3.9819444444444443,0.040987,0.13297,0.007141,0.058428,1
2033-08-20,2023,2023-08-20,06180,18.612192153930664,173.4945526123047,2.319509983062744,18.71875,187.59722222222223,2.8590277777777775,0.004084,0.039969,0.046967,0.027714,1
2033-08-21,2019,2019-08-21,06180,17.396495819091797,216.34994506835938,3.780975341796875,16.222916666666666,238.34722222222223,3.9499999999999997,0.044983,0.062343,0.014714,0.041111,1
2033-08-22,2020,2020-08-22,06180,19.226953506469727,140.61245727539062,6.6558427810668945,21.172916666666666,181.29861111111111,6.129861111111111,0.074589,0.11531,0.045788,0.078165,1
2033-08-23,2016,2016-08-23,06180,20.412904739379883,164.85491943359375,4.8328022956848145,18.290277777777778,171.09722222222223,3.647142857142857,0.081361,0.017691,0.103215,0.068816,1
2033-08-24,2017,2017-08-24,06180,18.765525817871094,150.8037109375,3.802743434906006,15.790972222222223,168.88888888888889,3.8992957746478876,0.114015,0.051256,0.008405,0.063504,1
2033-08-25,2021,2021-08-25,06180,17.389482498168945,28.579999923706055,6.201745510101318,16.321527777777778,75.77777777777777,5.996527777777778,0.040935,0.133765,0.017865,0.061863,1
2033-08-26,2018,2018-08-26,06180,15.105040550231934,152.40194702148438,7.3280348777771,15.091666666666665,194.80555555555554,4.800694444444444,0.000513,0.120177,0.220013,0.102262,1
2033-08-27,2017,2017-08-27,06180,13.465100288391113,194.33131408691406,4.274320125579834,16.570138888888888,169.75694444444446,3.7007042253521125,0.119017,0.069647,0.049935,0.083481,1
2033-08-28,2023,2023-08-28,06180,13.426441192626953,204.0913543701172,3.6488242149353027,16.279166666666665,212.30555555555554,3.5416666666666665,0.109345,0.02328,0.009328,0.053521,1
2033-08-29,2020,2020-08-29,06180,12.089415550231934,182.3894500732422,2.7538540363311768,16.43472222222222,129.49305555555554,2.310416666666667,0.166556,0.149915,0.038603,0.123178,1
2033-08-30,2020,2020-08-30,06180,16.075986862182617,88.75381469726562,2.60274338722229,15.784027777777778,138.71527777777777,2.576388888888889,0.011191,0.141597,0.002294,0.047644,1
2033-08-31,2015,2015-08-31,06180,17.851104736328125,81.96463012695312,4.515414237976074,17.56527777777778,62.645833333333336,3.564583333333333,0.010956,0.054752,0.082773,0.04564,1
2035-11-01,2015,2015-11-01,06180,8.647216796875,9.220773696899414,3.4034159183502197,9.864583333333334,28.45138888888889,3.0,0.046662,0.054502,0.035119,0.045551,1
2035-11-02,2024,2024-11-02,06180,6.436396598815918,48.474021911621094,2.5534305572509766,6.014583333333333,61.958333333333336,2.96875,0.016168,0.038216,0.036155,0.028779,1
2035-11-03,2019,2019-11-03,06180,11.025368690490723,12.736580848693848,3.0764849185943604,10.436805555555557,30.11111111111111,2.4791666666666665,0.02256,0.049242,0.051998,0.039396,1
2035-11-04,2024,2024-11-04,06180,12.099854469299316,18.78931999206543,2.2039387226104736,10.713194444444445,17.743055555555557,2.5597222222222222,0.053151,0.002965,0.030972,0.031442,1
2035-11-05,2024,2024-11-05,06180,5.9349822998046875,47.722496032714844,1.5831143856048584,9.672916666666667,11.0625,1.5388888888888888,0.143275,0.103899,0.00385,0.089635,1
2035-11-06,2017,2017-11-06,06180,4.133912563323975,58.63016128540039,3.092224359512329,5.672027972027972,59.34722222222222,3.0923076923076924,0.058956,0.002032,7e-06,0.024194,1
2035-11-07,2018,2018-11-07,06180,10.895177841186523,47.7501335144043,4.237727165222168,8.914583333333333,57.111111111111114,2.879861111111111,0.075916,0.02653,0.118207,0.073788,1
2035-11-08,2019,2019-11-08,06180,5.970992565155029,56.77100372314453,3.1406984329223633,7.581944444444444,37.020833333333336,3.202205882352941,0.061748,0.055975,0.005354,0.043098,1
2035-11-09,2016,2016-11-09,06180,1.128706455230713,54.478092193603516,2.4464097023010254,2.060416666666667,35.5,4.779166666666667,0.035713,0.053786,0.203074,0.091343,1
2035-11-10,2017,2017-11-10,06180,3.8364601135253906,13.448678970336914,8.497724533081055,6.975,17.98611111111111,7.471527777777778,0.120301,0.01286,0.089334,0.078778,1
2035-11-11,2021,2021-11-11,06180,10.29223346710205,33.982295989990234,4.077307224273682,9.427083333333334,25.84722222222222,3.556944444444445,0.033161,0.023056,0.045299,0.033771,1
2035-11-12,2015,2015-11-12,06180,11.349433898925781,27.318904876708984,5.790660381317139,11.21875,50.78472222222222,7.33263888888889,0.005009,0.066505,0.134234,0.062225,1
2035-11-13,2018,2018-11-13,06180,10.14073371887207,15.772628784179688,4.150330543518066,9.527083333333334,19.770833333333332,4.229861111111111,0.023521,0.011331,0.006923,0.014885,1
2035-11-14,2022,2022-11-14,06180,12.555330276489258,11.51564884185791,7.93080997467041,9.904895104895106,16.125,6.173426573426574,0.101592,0.013063,0.152986,0.090451,1
2035-11-15,2018,2018-11-15,06180,10.398150444030762,20.78472900390625,2.961845874786377,9.284722222222221,41.5625,4.267361111111111,0.042678,0.058887,0.113649,0.068832,1
2035-11-16,2021,2021-11-16,06180,10.593134880065918,10.637272834777832,1.5157337188720703,6.760416666666667,3.5069444444444446,2.9208333333333334,0.146909,0.020208,0.122318,0.101521,1
2035-11-17,2015,2015-11-17,06180,9.765389442443848,23.098346710205078,3.635026216506958,8.827272727272726,27.76388888888889,4.557342657342657,0.035958,0.013223,0.080291,0.042437,1
2035-11-18,2018,2018-11-18,06180,8.331361770629883,24.46402359008789,1.617145299911499,5.706250000000001,33.75,5.199305555555556,0.100621,0.026318,0.311838,0.141695,1
2035-11-19,2024,2024-11-19,06180,6.833616256713867,36.02717208862305,3.4182050228118896,2.5395833333333333,9.48611111111111,3.5159722222222225,0.164591,0.075221,0.008511,0.090956,1
2035-11-20,2023,2023-11-20,06180,5.428031921386719,6.46455192565918,4.783329486846924,5.343055555555555,11.881944444444445,5.000694444444445,0.003257,0.015354,0.018922,0.011586,1
2035-11-21,2015,2015-11-21,06180,2.324643135070801,36.933387756347656,8.736223220825195,1.3777777777777778,11.270833333333334,7.716666666666667,0.036293,0.072731,0.088756,0.062963,1
2035-11-22,2015,2015-11-22,06180,0.09521517902612686,36.394962310791016,8.59111499786377,1.9602836879432624,9.36111111111111,9.47517730496454,0.071488,0.076617,0.07696,0.074669,1
2035-11-23,2024,2024-11-23,06180,1.2364922761917114,5.672178745269775,6.670683860778809,2.959722222222222,41.888888888888886,6.601388888888889,0.066052,0.102643,0.006032,0.059023,1
2035-11-24,2023,2023-11-24,06180,0.5503135323524475,34.986820220947266,5.7153191566467285,3.5888888888888886,28.90972222222222,7.297222222222222,0.116469,0.017223,0.13771,0.093067,1
2035-11-25,2018,2018-11-25,06180,0.8835591673851013,17.891759872436523,4.816036224365234,2.4430555555555555,14.51388888888889,4.419444444444444,0.059776,0.009573,0.034525,0.03714,1
2035-11-26,2022,2022-11-26,06180,5.383699417114258,5.37772274017334,2.9182050228118896,7.147222222222222,19.294573643410853,2.593055555555556,0.067596,0.039442,0.028305,0.047363,1
2035-11-27,2019,2019-11-27,06180,9.502838134765625,17.40915298461914,7.123830318450928,7.836111111111112,6.430555555555555,6.388194444444444,0.063886,0.031115,0.064039,0.054101,1
2035-11-28,2019,2019-11-28,06180,10.309009552001953,9.32469654083252,5.926621913909912,8.521527777777777,8.152777777777779,5.945138888888889,0.068514,0.003321,0.001612,0.028886,1
2035-11-29,2024,2024-11-29,06180,7.939542293548584,28.599777221679688,3.2077479362487793,3.7562499999999996,11.6875,3.254861111111111,0.160346,0.047932,0.004101,0.079748,1
2035-11-30,2022,2022-11-30,06180,8.294358253479004,13.821155548095703,5.151524543762207,4.335416666666666,13.25,4.711805555555555,0.151747,0.001619,0.038279,0.072668,1
2040-02-01,2021,2021-02-01,06180,-6.985198020935059,55.28247833251953,3.4428718090057373,0.6201388888888889,46.048611111111114,3.613888888888889,0.291513,0.02617,0.014888,0.128923,1
2040-02-02,2015,2015-02-02,06180,-8.311202049255371,57.27192687988281,3.6745638847351074,-1.1458333333333333,36.21527777777778,4.132638888888889,0.274649,0.059677,0.039877,0.139726,1
2040-02-03,2018,2018-02-03,06180,-6.263216018676758,41.258331298828125,1.5826267004013062,-2.1993055555555556,13.145833333333334,3.7548611111111114,0.15577,0.079674,0.1891,0.14294,1
2040-02-04,2023,2023-02-04,06180,-5.923628807067871,59.475006103515625,3.475961446762085,-1.0833333333333333,83.89583333333333,4.122695035460993,0.185529,0.069212,0.0563,0.111865,1
2040-02-05,2021,2021-02-05,06180,-3.3799686431884766,37.309776306152344,8.3338623046875,-4.590277777777778,40.951388888888886,5.817361111111111,0.046391,0.010321,0.219069,0.087374,1
2040-02-06,2017,2017-02-06,06180,0.5577468872070312,14.230134963989258,6.500143527984619,1.1902777777777778,18.0,6.352083333333334,0.024245,0.010684,0.012889,0.01677,1
2040-02-07,2025,2025-02-07,06180,1.4380229711532593,11.20264720916748,6.842238903045654,2.1402777777777775,34.770833333333336,5.90625,0.026918,0.066795,0.081481,0.05525,1
2040-02-08,2024,2024-02-08,06180,1.2938851118087769,63.96074676513672,5.280735969543457,1.4243055555555555,54.638888888888886,4.935416666666667,0.004999,0.026419,0.030061,0.018944,1
